,artist_id,artist_name,genres,popularity
70,0PFtn5NtBbbUNbU9EAmIWF,TOTO,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",76
71,0rvjqX7ttXeg3mTy8Xscbt,Journey,"['album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']",76
72,6kz53iCdBSqhQCZ21CoLcc,Culture Club,"['disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",67
73,0xliTEbFfy5HQHvsTknTkX,Alphaville,"['europop', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",67
74,7xNPROyVfkH4mcIxxCxySm,Junior Senior,['danish pop'],56
75,057gc1fxmJ2vkctjQJ7Tal,The Buggles,"['early synthpop', 'new romantic', 'new wave', 'new wave pop', 'synthpop', 'zolo']",61
76,6IRouO5mvvfcyxtPDKMYFN,Foreigner,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",72
77,19ra5tSw0tWufvUp8GotLo,George Michael,[],77
78,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,"['classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",79
79,0SwO7SWeDHJijQ3XNS7xEE,MGMT,"['alternative dance', 'indie rock', 'indietronica', 'modern rock', 'rock']",79
80,0lZoBs4Pzo7R89JM9lxwoT,Duran Duran,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'synthpop']",71
81,73a6pNH4YtLNgDbPQwXveo,Kim Wilde,"['europop', 'new romantic', 'new wave', 'new wave pop', 'soft rock']",63
82,3MdG05syQeRYPPcClLaUGl,Diana Ross,"['disco', 'motown', 'quiet storm', 'soul']",71
83,6Q192DXotxtaysaqNPy5yR,Amy Winehouse,"['british soul', 'indie r&b', 'neo soul']",79
84,7xkAwz0bQTGDSbkofyQt3U,Belinda Carlisle,"['new romantic', 'new wave pop', 'soft rock', 'synthpop']",65
85,6V6WCgi7waF55bJmylC4H5,Gloria Gaynor,['disco'],67
86,3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",89
87,485uL27bPomh29R4JmQehQ,Bob Seger,"['album rock', 'blues rock', 'classic rock', 'country rock', 'detroit rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",70
88,32vWCbZh0xZ4o9gkz4PsEU,Dolly Parton,"['classic country pop', 'country', 'country dawn']",76
89,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'rock']",85
90,1A92IAcd7A6npCA33oGM5i,The Proclaimers,"['celtic rock', 'scottish rock']",65
91,5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",67
92,3koiLjNrgRTNbOwViDipeA,Marvin Gaye,"['classic soul', 'funk', 'indie r&b', 'motown', 'northern soul', 'quiet storm', 'soul']",77
93,4QTVePrFu1xuGM9K0kNXkk,Dexys Midnight Runners,"['new romantic', 'new wave', 'new wave pop']",65
94,0SD4eZCN4Kr0wQk56hCdh2,Bonnie Tyler,"['europop', 'new wave pop', 'soft rock']",70
95,5xQKoGD7Ql92fWd1uWwKkf,Steve Perry,"['album rock', 'mellow gold', 'soft rock', 'yacht rock']",57
96,5NGO30tJxFlKixkPSgXcFE,The Police,"['album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock']",78
97,1LZEQNv7sE11VDY3SdxQeN,Bee Gees,"['disco', 'mellow gold', 'soft rock']",80
98,4V4Z3qMCwYofWHtip6ePF6,Bobby Caldwell,['yacht rock'],61
99,3UbyYnvNIT5DFXU4WgiGpP,Whitesnake,"['album rock', 'british blues', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",68
100,7Lf3LOZp3U3u2f6cWMd3AH,Paul Weller,"['britpop', 'solo wave']",60
101,27T030eWyCQRmDyuvr1kxY,Scorpions,"['album rock', 'german hard rock', 'german metal', 'german rock', 'hard rock', 'metal', 'rock']",76
102,3X0tJzVYoWlfjLYI0Ridsw,Suzanne Vega,"['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter']",60
103,2rGm8R7YDTbqDCVlNssQyL,DNA,[],53
104,7bKupnlF7XOfR1En3K8oAL,Go West,"['mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",55
105,4PpmBoqphQusNFsxuVKb6j,Paula Abdul,"['dance pop', 'new wave pop', 'soft rock', 'urban contemporary']",59
106,77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",75
107,3alW3LYQS8K29z8C8NSLIX,Barry Manilow,"['adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']",65
108,51l0uqRxGaczYr4271pVIC,The Bangles,"['album rock', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'paisley underground', 'pop rock', 'rock', 'soft rock', 'synthpop']",66
109,2e4nwiX8ZCU09LGLOpeqTH,Laura Pausini,"['europop', 'italian adult pop', 'latin', 'latin arena pop', 'latin pop', 'mexican pop']",74
110,4tpUmLEVLCGFr93o8hFFIB,Blondie,"['candy pop', 'new wave pop', 'permanent wave', 'power pop', 'rock']",73
111,6J7biCazzYhU3gM9j1wfid,Jamiroquai,['dance pop'],70
112,7emRV8AluG3d4e5T0DZiK9,Loggins & Messina,"['classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']",57
113,65c5si0ePAwkOCn4M35Ho7,Sérgio Mendes,"['bossa nova', 'brazilian jazz', 'samba']",59
114,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",83
115,6ogn9necmbUdCppmNnGOdi,Alanis Morissette,"['canadian pop', 'canadian singer-songwriter', 'lilith', 'pop rock', 'singer-songwriter']",71
116,7EK1bQADBoqbYXnT4Cqv9w,John Denver,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']",72
117,3ICflSq6ZgYAIrm2CTkfVP,The Animals,"['album rock', 'blues rock', 'british invasion', 'classic rock', 'folk rock', 'protopunk', 'psychedelic rock', 'rock']",68
118,7slfeZO9LsJbWgpkIoXBUJ,Ricky Martin,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'puerto rican pop']",79
119,492hDmhPyuIjP3MgTcIqgm,Caro Emerald,"['dutch pop', 'electro swing', 'nu jazz']",56
120,1ThoqLcyIYvZn7iWbj8fsj,Bill Withers,"['funk', 'motown', 'quiet storm', 'soul']",75
121,0Grjlu7ncIuCaSYvCs9fcd,New Radicals,['pop rock'],62
122,1gRNBaI4yn6wCCTvRhGWh8,Don McLean,"['adult standards', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock']",68
123,2WKdxPFRD7IqZvlIAvhMgY,Fugees,"['east coast hip hop', 'gangster rap', 'hip hop', 'new jersey rap', 'rap']",69
124,2Mu5NfyYm8n5iTomuKAEHl,Ms. Lauryn Hill,"['conscious hip hop', 'hip pop', 'neo soul', 'new jersey rap', 'r&b', 'urban contemporary']",75
125,2vm8GdHyrJh2O2MfbQFYG0,Ingrid Michaelson,"['acoustic pop', 'ectofolk', 'indiecoustica', 'lilith', 'neo mellow', 'pop rock']",65
126,3uA9RwNUL7HZKroYyVlUuL,Gillian Hills,['ye ye'],46
127,5b2OzvLaL6nyxw5pbVbSdy,Skeeter Davis,"['brill building pop', 'nashville sound']",53
128,0lAWpj5szCSwM4rUMHYmrr,Måneskin,"['indie rock italiano', 'italian pop']",84
129,4GITZM5LCR2KcdlgEOrNLD,The Foundations,"['brill building pop', 'bubblegum pop', 'motown', 'rock-and-roll', 'soul']",63
130,319yZVtYM9MBGqmSQnMyY6,Carole King,"['adult standards', 'brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",66
131,3bmFPbLMiLxtR9tFrTcKcP,Matthew Wilder,['new wave pop'],62
132,1LeVJ5GPeYDOVUjxx1y7Rp,Unknown Mortal Orchestra,"['chillwave', 'indie rock', 'indie soul', 'kiwi rock', 'neo-psychedelic', 'portland hip hop', 'psychedelic pop']",67
133,3ApUX1o6oSz321MMECyIYd,Quinn XCII,"['electropop', 'indie pop rap', 'pop', 'pop rap']",74
134,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",100
135,77qukKzmdI5BeMBR7WGUrN,Aaron Smith,['chicago house'],66
136,17TFSnqADESRM8BPSaM5aB,Krono,[],68
137,6dqohi36avY0M9urnyhITr,Luvli,[],68
138,1vVHevk2PD45epYnDi9CCc,Jack Stauber,['pittsburgh indie'],68
139,6sHCvZe1PHrOAuYlwTLNH4,Gus Dapperton,"['bedroom pop', 'indie pop', 'indie poptimism']",68
140,5INjqkS1o8h1imAzPqGZBb,Tame Impala,"['australian psych', 'neo-psychedelic']",82
141,36BjLtXEXIifbRrfc1Rtqa,Yuno,"['gamecore', 'jacksonville indie']",50
