all_top_genres
k-pop
k-pop girl group
korean ost
k-pop boy group
anime
pop
boy band
hip hop
rap
dance pop
soft rock
mellow gold
rock
new wave pop
classic rock
korean r&b
k-rap
r&b
pop rock
alternative rock
permanent wave
pop punk
modern rock
emo
progressive post-hardcore
skate punk
punk
alternative metal
socal pop punk
indie rock
