,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
37,6uzuW7L1t1UhnzbfXwtMtQ,The Curse of Curves,Cute Is What We Aim For,The Same Old Blood Rush With A New Touch,2006-06-19,0.792,-4.512,145.881,0.477,0.534,3:23
38,3Mjmll1qNCTw9LA0PndO2j,Can't Kick Up The Roots,Neck Deep,Life's Not Out To Get You,2015-08-14,0.976,-3.095,113.249,0.771,0.31,2:49
39,3iwsyTZzOWHZbHffBEyi1N,Right Now,SR-71,Now You See Inside,2000-06-20,0.967,-3.322,116.273,0.731,0.524,2:47
40,1Up4RdOBpChNDytatxKDXP,The Best Of Me,The Starting Line,Say It Like You Mean It,2002-07-16,0.802,-4.212,106.969,0.293,0.533,4:18
41,0wGWmko6pOeimMMATKGz2I,Honestly,Cartel,Chroma,2005,0.903,-4.949,144.522,0.583,0.449,3:27
42,6HV8ufhj3yJZjM29wxBxrB,Say Anything (Else),Cartel,Chroma,2005,0.745,-5.1,156.703,0.585,0.421,3:49
43,6SRMpCmXRkpdF9fTxHUd0w,We Got This,A Day To Remember,Bad Vibrations (Deluxe Edition),2016-09-02,0.972,-4.461,135.045,0.291,0.365,3:49
44,6J7cSyvSCnPwv3vqHchEfL,If It Means a Lot to You,A Day To Remember,Homesick,2009,0.536,-8.158,126.996,0.44,0.584,4:03
45,4vxVFPd2rCyRcobot4utR9,Coffee Shop Soundtrack,All Time Low,Put Up Or Shut Up,2006-07-25,0.852,-6.148,184.936,0.43,0.425,3:01
46,1v5BlBnf2ZY4tIJXkl7mq1,Lullabies,All Time Low,Put Up Or Shut Up,2006-07-25,0.895,-6.393,104.318,0.132,0.286,4:02
47,6SpLc7EXZIPpy0sVko0aoU,Misery Business,Paramore,Riot!,2007-06-11,0.906,-3.677,172.977,0.731,0.517,3:31
48,3kaK1EohdhDXT5ICBMRGkz,I Woke Up In A Car,Something Corporate,Leaving Through The Window,2002-01-01,0.908,-6.067,107.031,0.539,0.55,4:12
49,5jZ1Z2GFTf2gwmFc3qiUxs,The Taste of Ink,The Used,The Used,2002-06-25,0.904,-3.001,98.122,0.541,0.541,3:28
50,48O6kz322Dzu1R6Al5147q,MakeDamnSure,Taking Back Sunday,Louder Now (U.S. Version),2006-04-21,0.837,-5.608,140.495,0.432,0.553,3:28
51,0ChpoNjXfJPjMvCIN6so6J,Memory,Sugarcult,Palm Trees and Power Lines,2004-04-13,0.864,-3.892,167.154,0.713,0.449,3:46
52,27O9FuS1UIm6ZyLplgLQAH,Devotion And Desire,Bayside,Bayside,2005-08-23,0.9,-4.918,184.256,0.286,0.296,3:29
53,0DVxWV6V1nWa7Ml68Frd3D,Movies,Alien Ant Farm,Anthology,2001-01-01,0.934,-5.076,112.846,0.527,0.55,3:15
54,127amD6XCyrI15H3jVDSmC,Here and Now,Letters To Cleo,Aurora Gory Alice,1994,0.897,-6.81,114.905,0.346,0.456,3:38
55,2WCgqwPrWuDZ3Bu59kTQS7,One Of THOSE Nights,The Cab,Whisper War,2008-04-07,0.932,-3.392,106.466,0.603,0.543,3:48
56,05qCCJQJiOwvPQBb7akf1R,Jamie All Over,Mayday Parade,A Lesson In Romantics,2007-07-10,0.868,-3.702,149.042,0.402,0.426,3:36
57,3asFGFY3uLjMDmML1p0tYm,Savior,Rise Against,Appeal To Reason,2008-01-01,0.931,-3.425,112.548,0.467,0.339,4:02
58,6bfnA0cwvc7xPoEGiMznnN,Existentialism On Prom Night,Straylight Run,Straylight Run,2004,0.796,-5.98,133.408,0.204,0.525,4:01
59,0cUO45E6b08yRdzzOocrxl,Smoke,PVRIS,White Noise,2014-11-04,0.742,-7.287,149.985,0.5,0.474,3:05
60,53kRlOPQfNWhSraUytOMUY,Alive With the Glory of Love,Say Anything,Is a Real Boy,2005-10-01,0.93,-4.619,203.101,0.589,0.338,4:15
61,1MQEUAGuWlnZGrpXmCqJDU,I Hear You Calling,Gob,The World According To Gob,2001-01-23,0.86,-5.732,145.785,0.691,0.564,3:11
62,3IyCL4Em1GOpNGDf451Hg1,Could Have Been Me,The Struts,Everybody Wants,2016-03-04,0.907,-4.512,80.029,0.434,0.541,3:07
63,0u4htORODiTK9vHVA89MQX,Lovefool - Radio Edit,The Cardigans,First Band On The Moon,1996-09-17,0.602,-7.902,111.87,0.951,0.64,3:13
64,4fPBB44eDH71YohayI4eKV,You Only Live Once,The Strokes,First Impressions Of Earth,2006-01-03,0.908,-2.42,120.522,0.968,0.63,3:09
65,4XOZaPYeMn9hcbpyS90NnD,Lights And Sounds,Yellowcard,Lights And Sounds,2006-01-01,0.972,-3.675,167.819,0.387,0.344,3:28
66,5qtwzv99vOr5UTwnTixn7j,Know Your Enemy,Green Day,21st Century Breakdown,2009-05-15,0.958,-3.245,129.984,0.961,0.56,3:10
67,42et6fnHCw1HIPSrdPprMl,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997-04-08,0.864,-6.576,102.026,0.701,0.64,4:28
68,4GiVcDqNQI0fc0yYuRGH9m,Inside Out,Eve 6,Eve 6,1998,0.818,-7.666,175.668,0.691,0.483,3:39
69,2MLHyLy5z5l5YRp7momlgw,Island In The Sun,Weezer,Weezer (Green Album),2001-05-15,0.81,-6.26,114.623,0.661,0.654,3:20
70,1XsN9Flu0VvZpXmrkBtZGt,Let’s Go,Stuck in the Sound,Pursuit,2012-01-30,0.623,-5.07,89.454,0.275,0.486,3:31
71,57p0yopRgxzj7UCQsl1u9E,Radio Song,Superbus,Pop'n'Gum,2005-01-01,0.963,-1.661,157.969,0.714,0.563,2:23
72,48X3Yx34zApjhGOfup8jAa,It's Getting Boring by the Sea,Blood Red Shoes,Box of Secrets,2008,0.98,-2.996,151.947,0.118,0.476,2:56
73,7xm8RWCCBYvEVx1VyErDa3,Half-Truism,The Offspring,"Rise And Fall, Rage And Grace",2008-06-17,0.918,-3.798,144.112,0.402,0.431,3:25
74,2fAIfPLrPUTW1AmJRR428Q,Ruby,Kaiser Chiefs,"Yours Truly, Angry Mob",2007-01-01,0.939,-2.82,93.416,0.448,0.451,3:24
75,2JGfAzStXQ1VEo6H4l6rSR,Hit Or Miss,New Found Glory,New Found Glory,2000-01-01,0.986,-5.475,175.347,0.602,0.418,3:22
76,0CBM2iiBZmfKntDeQYboqU,Animal,Badflower,Temper,2018-11-23,0.597,-7.255,76.18,0.341,0.509,4:00
77,7IfckgnBsIdP4XE4tfWEDN,Take On Me,Reel Big Fish,The Best Of Us For The Rest Of Us,2010-10-12,0.94,-3.003,97.876,0.844,0.576,3:19
78,16RHXqV9K527pNj1v02PNC,Drown,Bring Me The Horizon,Drown,2014-11-03,0.977,-3.575,143.023,0.389,0.441,3:41
79,3SFXsFpeGmBTtQvKiwYMDA,Pretty Fly (For A White Guy),The Offspring,Americana,1998-11-16,0.895,-3.707,143.373,0.963,0.723,3:08
80,00wx4uDQOlYl9dphJXCWcB,Last Man Stranded,In Fear And Faith,In Fear And Faith,2012-10-16,0.819,-4.763,135.026,0.224,0.382,3:32
81,2GNkR4EfPnXi0zRl5A89ky,Elevated,State Champs,The Finer Things,2013-10-08,0.981,-2.04,188.181,0.456,0.267,3:29
82,50UpQeRX0Pebo76v3AK6S1,Grey Goose,Carousel Kings,Charm City,2017-02-10,0.982,-2.397,179.864,0.225,0.335,3:27
83,4Z4xFENnvMnRDPpAx5wpaO,Come on Eileen,Save Ferris,It Means Everything,1997-08-25,0.894,-6.361,115.795,0.325,0.374,4:09
84,1Cqx6ILbxZyo95A4YbC7sC,Vanilla-Scented Laser Beams,Homesafe,Vanilla-Scented Laser Beams,2018-04-27,0.918,-5.267,117.056,0.689,0.535,3:08
85,7yYKKwaOldTsF1Be0pGv0Y,Bouncing Off The Walls,Sugarcult,Start Static,2002,0.909,-4.688,150.904,0.734,0.472,2:21
86,1a9YW7fATU351ok4zWjU7a,Brick by Boring Brick,Paramore,Brand New Eyes,2009-09-28,0.942,-2.206,164.975,0.5,0.436,4:13
87,3cMliO9emUSa4d1Ap2MbfW,Volcano Girls,Veruca Salt,Eight Arms To Hold You,1997-01-01,0.961,-2.749,131.463,0.567,0.543,3:18
88,5Qt8U8Suu7MFH1VcJr17Td,Ready to Go,Republica,Republica,1996-07-30,0.953,-4.657,130.053,0.236,0.559,5:01
89,0Ti2dlF2xLjXblvdU5fCxM,Miss Murder,AFI,DECEMBERUNDERGROUND,2006-06-06,0.873,-4.542,143.519,0.686,0.308,3:26
90,28KccB3Iw5Gg8MjKewEQFW,The Jester,Badflower,"OK, I'M SICK",2019-02-22,0.827,-6.013,92.92,0.338,0.51,4:05
91,36n3OdHmEJqvWl5Ut2pDtF,Little Black Backpack,Stroke 9,Nasty Little Thoughts,1999-01-01,0.778,-5.375,120.292,0.311,0.316,3:43
92,3kQKJx9hnlEpJRtusM9da0,Bounce,The Cab,Whisper War,2008-04-07,0.745,-4.994,158.06,0.754,0.526,3:34
93,0ttHpMs250dpFkCYAnuhnE,Good,Better Than Ezra,Deluxe,1995-02-28,0.657,-6.873,109.95,0.792,0.615,3:05
94,3IlYkyctlcTqXAZOA4ZPzz,Love Me Dead,Ludo,"You're Awful, I Love You",2007-01-01,0.794,-2.551,120.917,0.373,0.598,4:20
95,3wiYAlqOqmABujoeBFxBWL,Atlantic,Grayscale,Adornment,2017-05-05,0.94,-2.41,110.98,0.542,0.546,3:53
96,1595LW73XBxkRk2ciQOHfr,A-Punk,Vampire Weekend,Vampire Weekend,2008-01-29,0.816,-4.478,174.993,0.857,0.548,2:17
97,27L8sESb3KR79asDUBu8nW,Stacy's Mom,Fountains Of Wayne,Welcome Interstate Managers,2003-01-01,0.75,-4.927,118.015,0.927,0.774,3:17
98,00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,Let Go,2002-06-04,0.9,-4.417,149.937,0.484,0.487,3:24
99,7CKLZEwboCy2juXMLsAHFt,Whoa Oh! (Me vs Everyone),Forever The Sickest Kids,Underdog Alma Mater,2008-01-01,0.923,-4.166,143.034,0.64,0.529,3:24
100,13bFj7A5M040FfjSuXKuy2,Empty Sighs and Wine,Isles & Glaciers,The Hearts of Lonely People,2010-03-09,0.912,-3.072,183.961,0.593,0.347,4:04
101,63L9AjBDN3SOMbJlBkFqiZ,Careful,Paramore,Brand New Eyes,2009-09-28,0.945,-3.703,164.997,0.607,0.417,3:50
102,3F274sv7NCtXfu88YEEhXd,Remembering Sunday,All Time Low,"So Wrong, It's Right",2007-09-25,0.602,-4.8,170.04,0.32,0.449,4:16
103,1JdKrFyoU05abww0Zv0ayQ,That's What You Get,Paramore,Riot!,2007-06-11,0.831,-3.607,131.094,0.632,0.528,3:40
104,573latfTMO7SpGtStVrQx5,Harlem,New Politics,A Bad Girl In Harlem,2013-05-17,0.952,-3.699,133.97,0.588,0.603,2:43
105,3XSHoPUiTR7cvQoQPHGb8E,Out of It,The Story So Far,Proper Dose,2018-09-21,0.939,-3.255,173.02,0.635,0.381,2:38
106,2gTdDMpNxIRFSiu7HutMCg,I Think I'm OKAY (with YUNGBLUD & Travis Barker),"Machine Gun Kelly, YUNGBLUD, Travis Barker",Hotel Diablo,2019-07-05,0.744,-4.718,119.921,0.277,0.628,2:49
107,6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,The Better Life,2000,0.865,-5.708,99.009,0.543,0.545,3:53
108,4b71IglSsVm2lvklMOxXGa,Free Energy,Free Energy,Stuck On Nothing,2010-01-01,0.675,-5.521,132.094,0.563,0.634,4:42
109,1UVffD20CfHJ2wD0x0as8L,Monsters,Matchbook Romance,Voices,2006-02-14,0.945,-2.651,114.797,0.487,0.362,4:03
110,4OsLDuaH0bWR6xM6nj66F8,F.C.P.R.E.M.I.X.,The Fall of Troy,Doppelganger,2005,0.891,-5.531,167.876,0.511,0.226,3:57
111,3VA4sjTMSTTF02hFGmlpJh,crushcrushcrush,Paramore,Riot!,2007-06-11,0.793,-4.086,136.96,0.648,0.631,3:09
112,2cViIXIe8Pbd1sOJExMJlK,Cemetery Drive,My Chemical Romance,Three Cheers for Sweet Revenge,2004-06-08,0.888,-4.861,115.993,0.655,0.548,3:08
113,28IEbk5a7twNTbUEvWslUb,Paralyzer,Finger Eleven,Them Vs. You Vs. Me (Deluxe Edition),2007-01-01,0.939,-3.486,106.031,0.861,0.644,3:28
114,0JJP0IS4w0fJx01EcrfkDe,"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",2007-09-25,0.895,-3.126,181.04,0.572,0.459,3:02
