,track_id,track_title,track_artists,track_album,track_release_date,energy,loudness,tempo,valence,danceability,duration
38,6B618H5CuCdEzcVs0NKTlt,Counting Blue Cars (Tell Me Your Thoughts On God),Dishwalla,Pet Your Friends,1995-01-01,0.79,-4.361,100.225,0.362,0.454,4:51
39,3YgkTpILtOWngT7PVHg8kO,Everything About You,Ugly Kid Joe,America's Least Wanted,1992-01-01,0.79,-7.943,122.585,0.743,0.522,4:20
40,6q03mlzKsM1m3TLpi6T6Cw,Sugar Kane,Sonic Youth,Dirty,1992,0.913,-5.346,134.965,0.357,0.345,5:57
41,0z25tUQgEI4cIyNZ1TgWig,Unsung,Helmet,Meantime,1992-01-01,0.814,-9.272,160.303,0.731,0.311,3:56
42,17CWwbHJ2ThM5MXj90ObrS,Word Up - Radio Mix,Gun,Swagger,1994-01-01,0.954,-7.325,117.729,0.635,0.525,4:20
43,5PntSbMHC1ud6Vvl8x56qd,Loser,Beck,Mellow Gold,1994-03-01,0.611,-10.45,85.387,0.786,0.654,3:55
44,500Tkm3vJmVtdUwdCVxCTb,Run-Around,Blues Traveler,Four,1994-01-01,0.867,-7.307,151.695,0.876,0.629,4:39
45,3OOFEF20WqtsUPcRbPY3L7,Short Skirt / Long Jacket,CAKE,Comfort Eagle,2001-07-23,0.899,-6.552,119.995,0.881,0.778,3:24
46,0z1hoxTVVdZn1OxciNsRuw,Something to Believe In,Citizen Cope,One Lovely Day,2012-07-17,0.882,-7.039,156.099,0.881,0.659,3:41
47,1yKu2MhpwzDXXH2tzG6xoa,Beverly Hills,Weezer,Make Believe,2005-05-10,0.823,-3.761,87.904,0.741,0.693,3:16
48,4ePP9So5xRzspjLFVVbj90,Two Princes,Spin Doctors,Pocket Full Of Kryptonite,1991-08-27,0.912,-10.71,103.731,0.836,0.543,4:16
49,3YuaBvuZqcwN3CEAyyoaei,Like a Stone,Audioslave,Audioslave,2002-11-17,0.568,-5.477,107.849,0.516,0.614,4:53
50,64BbK9SFKH2jk86U3dGj2P,Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,0.795,-3.265,123.229,0.513,0.458,4:15
51,6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,Dizzy up the Girl,1998-09-11,0.715,-8.072,155.925,0.497,0.315,4:49
52,15VRO9CQwMpbqUYA7e6Hwg,The Man Who Sold The World,Nirvana,MTV Unplugged In New York,1994-11-01,0.753,-8.937,115.102,0.42,0.483,4:21
